metric,count,mean,std,min,max,q25,q50,q75
brightness_mean_intensity,13,154.83067960141346,22.627192057847047,116.35366552511415,190.0157162620806,139.6413389270868,151.98980934172909,174.6803116438356
brightness_median_intensity,13,163.15384615384616,23.38391952405953,132.0,208.0,146.0,162.0,176.0
brightness_weighted_mean,13,154.2258722592204,22.538804588871084,115.89915901915668,189.27346737043183,139.09586494690288,151.39609914898796,173.9979666764769
brightness_brightness_p10,13,90.61538461538461,46.627135271103064,14.0,142.0,54.0,99.0,131.0
brightness_brightness_p90,13,208.3846153846154,16.630987450832365,178.0,229.0,198.0,215.0,222.0
brightness_darkness_ratio,13,0.09278657161861871,0.12798805868006286,0.0004894716994369705,0.4203687214611872,0.016084599126515005,0.035406392694063926,0.0828698060091558
brightness_brightness_cv,13,0.3324000378299599,0.17404364076098072,0.1863964979310251,0.7182543234395103,0.2089315038999538,0.28142752664463394,0.30908930186297473
contrast_std_contrast,13,48.59768800233318,17.817571334141203,29.83117506530999,83.57152331144795,35.3136061339841,43.95241686564785,50.17365742340646
contrast_rms_contrast,13,48.59768800233318,17.817571334141203,29.83117506530999,83.57152331144795,35.3136061339841,43.95241686564785,50.17365742340646
contrast_michelson_contrast,13,1.0,0.0,1.0,1.0,1.0,1.0,1.0
contrast_weber_contrast,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contrast_entropy,13,7.012946486993917,0.4123108799031779,6.5306463219295265,7.796381989307267,6.691742535193914,6.845880910707727,7.272151615259937
contrast_dynamic_range,13,255.0,0.0,255.0,255.0,255.0,255.0,255.0
contrast_percentile_range,13,146.53846153846155,44.83044981671755,87.0,224.0,109.0,141.0,175.0
contrast_high_contrast_ratio,13,0.09946456791006278,0.0005508242703447992,0.09791352410853665,0.09999657534246575,0.09938698630136986,0.099566107729816,0.09978424657534246
sharpness_laplacian_variance,13,182.96238304122588,90.91344033893462,82.741920481094,373.5171666776705,116.25623703073256,175.69812036146033,215.13968031677203
sharpness_tenengrad,13,1240.9473966173705,1210.9025951106119,314.23256537982564,4381.717235159817,432.2772700962938,730.6330114155251,1383.181292237443
sharpness_modified_laplacian,13,9.086735842747517,3.121454664840689,4.483175799086758,14.675356936137373,6.622091324200913,9.48856506849315,10.717835186711802
sharpness_brenner,13,0.00010786676183164703,8.59352220587062e-05,1.3154894497746128e-05,0.0002602739726027397,2.7406030203637766e-05,0.00010633539719011453,0.00016666666666666666
sharpness_high_freq_ratio,13,0.2645492692505333,0.08887010678977145,0.1697567121839653,0.4051541568843208,0.1827574677492458,0.21034598653506426,0.349457440452837
sharpness_edge_density,13,0.03245875940574956,0.07369826841304114,0.0003650483223124551,0.25930821917808217,0.000486182975812534,0.0022123287671232876,0.01863812785388128
noise_noise_in_flat_regions,13,17.21111535011631,19.739454537737597,0.0,46.27427953483288,0.0,0.0,35.393910732945415
noise_wavelet_noise_estimate,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
noise_high_freq_noise_std,13,2.9607402834667793,0.8179162945886468,1.999995155890331,4.962875540137993,2.412266990404308,2.7636331367811913,3.0622364326874707
noise_estimated_snr_db,13,11.250489195405518,2.2387650288939303,6.268292272824377,14.250392364830438,10.749348480745883,11.805387207146033,12.647162254819897
noise_coefficient_of_variation,13,0.3324000378299599,0.17404364076098072,0.1863964979310251,0.7182543234395103,0.2089315038999538,0.28142752664463394,0.30908930186297473
noise_median_noise_residual,13,1.5787700157903708,0.7590589647287517,0.48107648401826486,2.9900368117797695,0.9100399543378995,1.5079038991107292,2.1473583875607316
noise_impulse_noise_ratio,13,0.030018724474445105,0.01960338449475411,0.004924657534246576,0.06453846052654658,0.014277397260273973,0.022587899543378996,0.04566009068107274
